day:5, area_number:0, roomID:21, stock:1, suf_rate:0.1
day:5, area_number:0, roomID:23, stock:1, suf_rate:0.1
day:5, area_number:0, roomID:26, stock:0, suf_rate:0.0
day:5, area_number:0, roomID:32, stock:0, suf_rate:0.0
day:5, area_number:0, roomID:58, stock:0, suf_rate:0.0
day:6, area_number:1, roomID:20, stock:0, suf_rate:0.0
day:6, area_number:1, roomID:21, stock:0, suf_rate:0.0
day:6, area_number:1, roomID:22, stock:0, suf_rate:0.0
day:6, area_number:1, roomID:23, stock:0, suf_rate:0.0
day:6, area_number:1, roomID:24, stock:0, suf_rate:0.0
day:6, area_number:1, roomID:25, stock:0, suf_rate:0.0
day:6, area_number:1, roomID:26, stock:0, suf_rate:0.0
day:6, area_number:1, roomID:27, stock:0, suf_rate:0.0
day:6, area_number:1, roomID:28, stock:2, suf_rate:0.2
day:6, area_number:1, roomID:29, stock:2, suf_rate:0.2
day:6, area_number:1, roomID:30, stock:0, suf_rate:0.0
day:6, area_number:1, roomID:31, stock:0, suf_rate:0.0
day:6, area_number:1, roomID:32, stock:1, suf_rate:0.1
day:6, area_number:1, roomID:33, stock:1, suf_rate:0.1
day:6, area_number:1, roomID:34, stock:0, suf_rate:0.0
day:6, area_number:1, roomID:35, stock:1, suf_rate:0.1
day:6, area_number:1, roomID:36, stock:0, suf_rate:0.0
day:6, area_number:1, roomID:37, stock:2, suf_rate:0.2
day:6, area_number:1, roomID:38, stock:3, suf_rate:0.3
day:6, area_number:1, roomID:39, stock:1, suf_rate:0.1
day:6, area_number:1, roomID:2, stock:0, suf_rate:0.0
day:6, area_number:1, roomID:6, stock:0, suf_rate:0.0
day:6, area_number:1, roomID:12, stock:0, suf_rate:0.0
day:6, area_number:1, roomID:13, stock:0, suf_rate:0.0
day:6, area_number:1, roomID:20, stock:0, suf_rate:0.0
day:6, area_number:1, roomID:22, stock:0, suf_rate:0.0
day:6, area_number:1, roomID:24, stock:1, suf_rate:0.1
day:6, area_number:1, roomID:25, stock:1, suf_rate:0.1
day:6, area_number:1, roomID:27, stock:2, suf_rate:0.2
day:6, area_number:1, roomID:30, stock:0, suf_rate:0.0
day:6, area_number:1, roomID:34, stock:0, suf_rate:0.0
day:6, area_number:1, roomID:35, stock:0, suf_rate:0.0
day:6, area_number:1, roomID:39, stock:0, suf_rate:0.0
day:6, area_number:1, roomID:41, stock:1, suf_rate:0.1
