roomID:3, day:68, sales:0, shortage0, consume:0
roomID:3, day:69, sales:0, shortage0, consume:0
roomID:3, day:70, sales:0, shortage0, consume:0
roomID:3, day:71, sales:0, shortage0, consume:0
roomID:3, day:72, sales:0, shortage0, consume:0
roomID:3, day:73, sales:0, shortage0, consume:0
roomID:3, day:74, sales:0, shortage0, consume:0
roomID:3, day:75, sales:0, shortage0, consume:0
roomID:3, day:76, sales:0, shortage0, consume:0
roomID:3, day:77, sales:0, shortage0, consume:0
roomID:3, day:78, sales:0, shortage0, consume:0
roomID:3, day:79, sales:0, shortage0, consume:0
roomID:3, day:80, sales:0, shortage0, consume:0
roomID:3, day:81, sales:0, shortage0, consume:0
roomID:3, day:82, sales:0, shortage0, consume:0
roomID:3, day:83, sales:0, shortage0, consume:0
roomID:3, day:84, sales:0, shortage0, consume:0
roomID:3, day:85, sales:0, shortage0, consume:0
roomID:3, day:86, sales:0, shortage0, consume:0
roomID:3, day:87, sales:0, shortage0, consume:0
roomID:3, day:88, sales:0, shortage0, consume:0
roomID:3, day:89, sales:0, shortage0, consume:0
roomID:3, day:90, sales:0, shortage0, consume:0
roomID:3, day:91, sales:0, shortage0, consume:0
roomID:3, day:92, sales:0, shortage0, consume:0
roomID:3, day:93, sales:0, shortage0, consume:0
roomID:3, day:94, sales:0, shortage0, consume:0
roomID:3, day:95, sales:0, shortage0, consume:0
roomID:3, day:96, sales:0, shortage0, consume:0
roomID:3, day:97, sales:0, shortage0, consume:0
roomID:3, day:98, sales:0, shortage0, consume:0
roomID:3, day:99, sales:0, shortage0, consume:0

roomID:4, day:0, sales:0, shortage0, consume:0
roomID:4, day:1, sales:0, shortage0, consume:0
roomID:4, day:2, sales:0, shortage0, consume:0
roomID:4, day:3, sales:0, shortage0, consume:0
roomID:4, day:4, sales:0, shortage0, consume:0
roomID:4, day:5, sales:0, shortage0, consume:0
roomID:4, day:6, sales:0, shortage0, consume:0
roomID:4, day:7, sales:0, shortage0, consume:0
roomID:4, day:8, sales:0, shortage0, consume:0
roomID:4, day:9, sales:0, shortage0, consume:0
roomID:4, day:10, sales:0, shortage0, consume:0
roomID:4, day:11, sales:0, shortage0, consume:0
roomID:4, day:12, sales:0, shortage0, consume:0
roomID:4, day:13, sales:0, shortage0, consume:0
roomID:4, day:14, sales:0, shortage0, consume:0
roomID:4, day:15, sales:0, shortage0, consume:0
roomID:4, day:16, sales:0, shortage0, consume:0
roomID:4, day:17, sales:0, shortage0, consume:0
roomID:4, day:18, sales:0, shortage0, consume:0
roomID:4, day:19, sales:0, shortage0, consume:0
roomID:4, day:20, sales:0, shortage0, consume:0
roomID:4, day:21, sales:0, shortage0, consume:0
roomID:4, day:22, sales:0, shortage0, consume:0
roomID:4, day:23, sales:0, shortage0, consume:0
roomID:4, day:24, sales:0, shortage0, consume:0
roomID:4, day:25, sales:0, shortage0, consume:0
roomID:4, day:26, sales:0, shortage0, consume:0
roomID:4, day:27, sales:0, shortage0, consume:0
roomID:4, day:28, sales:0, shortage0, consume:0
roomID:4, day:29, sales:0, shortage0, consume:0
roomID:4, day:30, sales:0, shortage0, consume:0
roomID:4, day:31, sales:0, shortage0, consume:0
roomID:4, day:32, sales:0, shortage0, consume:0
roomID:4, day:33, sales:0, shortage0, consume:0
roomID:4, day:34, sales:0, shortage0, consume:0
roomID:4, day:35, sales:0, shortage0, consume:0
roomID:4, day:36, sales:0, shortage0, consume:0
roomID:4, day:37, sales:0, shortage0, consume:0
roomID:4, day:38, sales:0, shortage0, consume:0
roomID:4, day:39, sales:0, shortage0, consume:0
roomID:4, day:40, sales:0, shortage0, consume:0
roomID:4, day:41, sales:0, shortage0, consume:0
roomID:4, day:42, sales:0, shortage0, consume:0
roomID:4, day:43, sales:0, shortage0, consume:0
roomID:4, day:44, sales:0, shortage0, consume:0
roomID:4, day:45, sales:0, shortage0, consume:0
roomID:4, day:46, sales:0, shortage0, consume:0
roomID:4, day:47, sales:0, shortage0, consume:0
roomID:4, day:48, sales:0, shortage0, consume:0
roomID:4, day:49, sales:0, shortage0, consume:0
roomID:4, day:50, sales:0, shortage0, consume:0
roomID:4, day:51, sales:0, shortage0, consume:0
roomID:4, day:52, sales:0, shortage0, consume:0
roomID:4, day:53, sales:0, shortage0, consume:0
roomID:4, day:54, sales:0, shortage0, consume:0
roomID:4, day:55, sales:0, shortage0, consume:0
roomID:4, day:56, sales:0, shortage0, consume:0
roomID:4, day:57, sales:0, shortage0, consume:0
roomID:4, day:58, sales:0, shortage0, consume:0
roomID:4, day:59, sales:0, shortage0, consume:0
roomID:4, day:60, sales:0, shortage0, consume:0
roomID:4, day:61, sales:0, shortage0, consume:0
roomID:4, day:62, sales:0, shortage0, consume:0
roomID:4, day:63, sales:0, shortage0, consume:0
roomID:4, day:64, sales:0, shortage0, consume:0
roomID:4, day:65, sales:0, shortage0, consume:0
roomID:4, day:66, sales:0, shortage0, consume:0
roomID:4, day:67, sales:0, shortage0, consume:0
roomID:4, day:68, sales:0, shortage0, consume:0
roomID:4, day:69, sales:0, shortage0, consume:0
roomID:4, day:70, sales:0, shortage0, consume:0
roomID:4, day:71, sales:0, shortage0, consume:0
roomID:4, day:72, sales:0, shortage0, consume:0
roomID:4, day:73, sales:0, shortage0, consume:0
roomID:4, day:74, sales:0, shortage0, consume:0
roomID:4, day:75, sales:0, shortage0, consume:0
roomID:4, day:76, sales:0, shortage0, consume:0
roomID:4, day:77, sales:0, shortage0, consume:0
roomID:4, day:78, sales:0, shortage0, consume:0
roomID:4, day:79, sales:0, shortage0, consume:0
roomID:4, day:80, sales:0, shortage0, consume:0
roomID:4, day:81, sales:0, shortage0, consume:0
roomID:4, day:82, sales:0, shortage0, consume:0
roomID:4, day:83, sales:0, shortage0, consume:0
roomID:4, day:84, sales:0, shortage0, consume:0
roomID:4, day:85, sales:0, shortage0, consume:0
roomID:4, day:86, sales:0, shortage0, consume:0
roomID:4, day:87, sales:0, shortage0, consume:0
roomID:4, day:88, sales:0, shortage0, consume:0
roomID:4, day:89, sales:0, shortage0, consume:0
roomID:4, day:90, sales:0, shortage0, consume:0
roomID:4, day:91, sales:0, shortage0, consume:0
roomID:4, day:92, sales:0, shortage0, consume:0
roomID:4, day:93, sales:0, shortage0, consume:0
roomID:4, day:94, sales:0, shortage0, consume:0
roomID:4, day:95, sales:0, shortage0, consume:0
roomID:4, day:96, sales:0, shortage0, consume:0
roomID:4, day:97, sales:0, shortage0, consume:0
roomID:4, day:98, sales:0, shortage0, consume:0
roomID:4, day:99, sales:0, shortage0, consume:0

roomID:5, day:0, sales:4, shortage0, consume:4
roomID:5, day:1, sales:4, shortage0, consume:4
roomID:5, day:2, sales:4, shortage0, consume:4
roomID:5, day:3, sales:0, shortage0, consume:0
roomID:5, day:4, sales:0, shortage0, consume:0
roomID:5, day:5, sales:2, shortage2, consume:4
roomID:5, day:6, sales:4, shortage0, consume:4
roomID:5, day:7, sales:4, shortage0, consume:4
roomID:5, day:8, sales:0, shortage0, consume:0
roomID:5, day:9, sales:0, shortage0, consume:0
roomID:5, day:10, sales:2, shortage6, consume:8
roomID:5, day:11, sales:4, shortage0, consume:4
roomID:5, day:12, sales:0, shortage0, consume:0
roomID:5, day:13, sales:0, shortage0, consume:0
roomID:5, day:14, sales:0, shortage0, consume:0
roomID:5, day:15, sales:0, shortage0, consume:0
roomID:5, day:16, sales:4, shortage0, consume:4
roomID:5, day:17, sales:0, shortage0, consume:0
roomID:5, day:18, sales:4, shortage0, consume:4
roomID:5, day:19, sales:2, shortage2, consume:4
roomID:5, day:20, sales:0, shortage0, consume:0
roomID:5, day:21, sales:4, shortage0, consume:4
roomID:5, day:22, sales:0, shortage0, consume:0
roomID:5, day:23, sales:0, shortage0, consume:0
roomID:5, day:24, sales:0, shortage0, consume:0
roomID:5, day:25, sales:6, shortage2, consume:8
roomID:5, day:26, sales:0, shortage0, consume:0
roomID:5, day:27, sales:0, shortage0, consume:0
roomID:5, day:28, sales:4, shortage0, consume:4
roomID:5, day:29, sales:4, shortage0, consume:4
roomID:5, day:30, sales:0, shortage0, consume:0
roomID:5, day:31, sales:0, shortage0, consume:0
roomID:5, day:32, sales:4, shortage0, consume:4
roomID:5, day:33, sales:4, shortage0, consume:4
roomID:5, day:34, sales:2, shortage2, consume:4
roomID:5, day:35, sales:0, shortage0, consume:0
roomID:5, day:36, sales:0, shortage0, consume:0
roomID:5, day:37, sales:0, shortage0, consume:0
roomID:5, day:38, sales:0, shortage0, consume:0
roomID:5, day:39, sales:4, shortage0, consume:4
